Date,btc,nasdaq,btc_vol,fed_rate
2015-01-31,217.4640045,4635.240234,1.482537873,0.11
2015-02-28,254.2630005,4963.529785,0.7272386263,0.11
2015-03-31,244.223999,4900.879883,0.644011441,0.11
2015-04-30,236.1450043,4941.419922,0.4634590542,0.12
2015-05-31,230.1900024,5070.029785,0.2666669096,0.12
2015-06-30,263.071991,4986.870117,0.3295409828,0.13
2015-07-31,284.6499939,5128.279785,0.4788873247,0.13
2015-08-31,230.0559998,4776.509766,0.8897454111,0.14
2015-09-30,236.0599976,4620.160156,0.2478179688,0.14
2015-10-31,314.1659851,5053.75,0.3698773287,0.12
2015-11-30,377.3210144,5108.669922,0.9450976798,0.12
2015-12-31,430.5669861,5007.410156,0.6196333576,0.24
2016-01-31,368.7669983,4613.950195,0.8477382676,0.34
2016-02-29,437.696991,4557.950195,0.3705877535,0.38
2016-03-31,416.7290039,4869.850098,0.2555781408,0.36
2016-04-30,448.3179932,4775.359863,0.2349850547,0.37
2016-05-31,531.3859863,4948.049805,0.4686742421,0.37
2016-06-30,673.3369751,4842.669922,0.9147062627,0.38
2016-07-31,624.6810303,5162.129883,0.4743904563,0.39
2016-08-31,575.4719849,5213.220215,0.4255284395,0.4
2016-09-30,609.7349854,5312,0.2172059172,0.4
2016-10-31,700.9719849,5189.140137,0.25863278,0.4
2016-11-30,745.690979,5323.680176,0.3966274859,0.41
2016-12-31,963.742981,5383.120117,0.367439596,0.54
2017-01-31,970.4030151,5614.790039,1.011425257,0.65
2017-02-28,1179.969971,5825.439941,0.4164648922,0.66
2017-03-31,1071.790039,5911.740234,0.9464004358,0.79
2017-04-30,1347.890015,6047.609863,0.3103756415,0.9
2017-05-31,2286.409912,6198.52002,0.8086836372,0.91
2017-06-30,2480.840088,6140.419922,0.793036767,1.04
2017-07-31,2875.340088,6348.120117,1.189384652,1.15
2017-08-31,4703.390137,6428.660156,0.6768749374,1.16
2017-09-30,4338.709961,6495.959961,1.266966341,1.15
2017-10-31,6468.399902,6727.669922,0.6761102771,1.15
2017-11-30,10233.59961,6873.970215,0.8501719464,1.16
2017-12-31,14156.40039,6903.390137,1.625984052,1.3
2018-01-31,10221.09961,7411.47998,1.267446821,1.41
2018-02-28,10397.90039,7273.009766,1.376309148,1.42
2018-03-31,6973.529785,7063.450195,0.8427199905,1.51
2018-04-30,9240.549805,7066.27002,0.8558028418,1.69
2018-05-31,7494.169922,7442.120117,0.5419272072,1.7
2018-06-30,6404,7510.299805,0.6850926577,1.82
2018-07-31,7780.439941,7671.790039,0.6259390096,1.91
2018-08-31,7037.580078,8109.540039,0.5359923286,1.91
2018-09-30,6625.560059,8046.350098,0.4465568796,1.95
2018-10-31,6317.609863,7305.899902,0.2762262444,2.19
2018-11-30,4017.268555,7330.540039,0.9444188433,2.2
2018-12-31,3742.700439,6635.279785,0.8438258781,2.27
2019-01-31,3457.792725,7281.740234,0.4956022161,2.4
2019-02-28,3854.7854,7532.529785,0.4977292901,2.4
2019-03-31,4105.404297,7729.319824,0.2237275585,2.41
2019-04-30,5350.726562,8095.390137,0.6646661939,2.42
2019-05-31,8574.501953,7453.149902,0.8774862712,2.39
2019-06-30,10817.15527,8006.240234,1.034261704,2.38
2019-07-31,10085.62793,8175.419922,1.015356631,2.4
2019-08-31,9630.664062,7962.879883,0.6334695484,2.13
2019-09-30,8293.868164,7999.339844,0.5616038994,2.04
2019-10-31,9199.584961,8292.360352,0.7111945931,1.83
2019-11-30,7569.629883,8665.469727,0.4742166672,1.55
2019-12-31,7193.599121,8972.599609,0.4615447133,1.55
2020-01-31,9350.529297,9150.94043,0.5370414442,1.55
2020-02-29,8599.508789,8567.370117,0.485237584,1.58
2020-03-31,6438.644531,7700.100098,1.964880709,0.65
2020-04-30,8658.553711,8889.549805,0.6668869711,0.05
2020-05-31,9461.058594,9489.870117,0.6496214859,0.05
